uid,categoria_t,marca,producto_t,precio_t,precio_y,max,date_max,min,date_min,cambio,link_t,imagen_t
7e2be41b8001d5d670ce016c2ddbf45e,telefonos,Iphone,Celular iPhone XS 64 GB 4G Plata,4309000.0,4309000.0,4309000.0,07-07-20,4309000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xs-64-gb-4g-plata,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/x/s/xs-plateado_3.jpg
9978218a63d698ff739808aa7c4de274,telefonos,Samsung,Celular SAMSUNG Galaxy Note 10 Plus DS 256 GB Plateado,4399900.0,4399900.0,4399900.0,07-07-20,4399900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-note-10-plus-ds-256-gb-plateado-1,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/7/7/7707222704237_23_1_1.jpg
d2ceabec2e3de9fec63dd9c9bfdba9b9,telefonos,Samsung,Celular SAMSUNG Galaxy Note 10 Plus DS 256 GB  Blanco,4399900.0,4399900.0,4399900.0,07-07-20,4399900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-note-10-plus-ds-256-gb-blanco-1,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/7/7/7707222704244_4_2_1.jpg
0c451b424b9b9f2d914aea9a5c0d55cb,telefonos,Huawei,Celular HUAWEI P40 Pro 256GB  Azul - Deep Sea Blue,4599900.0,4599900.0,4599900.0,07-07-20,4599900.0,07-07-20,igual,http://www.alkosto.com/celular-huawei-p40-pro-256gb-azul-deep-sea-blue,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6901443386161_01_p40pro_blue.jpg
559f1f62b508fbb66ae3b70929f80f25,telefonos,Iphone,Celular iPhone XS Max 64 GB 4G Gris Espacial,4749000.0,4749000.0,4749000.0,07-07-20,4749000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xs-max-64-gb-4g-gris-espacial,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/x/s/xs-negro3_5.jpg
505ea8baaa957ff21697ae979172e914,telefonos,Iphone,Celular iPhone XS Max 64 GB 4G Plata,4749000.0,4749000.0,4749000.0,07-07-20,4749000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xs-max-64-gb-4g-plata,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/x/s/xs-plateado_5.jpg
764e49445758b687e707a37681e2a3ff,telefonos,Iphone,iPhone 11 Pro 64 GB Oro,4929000.0,4929000.0,4929000.0,07-07-20,4929000.0,07-07-20,igual,http://www.alkosto.com/iphone-11-pro-64-gb-oro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199389281_10.jpg
58cf644e83d579df1f8ef9f57c2a5940,telefonos,Iphone,iPhone 11 Pro 64 GB Gris espacial,4929000.0,,4929000.0,07-07-20,4929000.0,07-07-20,nuevo,http://www.alkosto.com/iphone-11-pro-64-gb-gris-espacial,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199388604_11.jpg
39bdad9c034ae85c4a6bb96d00df3c2b,telefonos,Iphone,iPhone 11 Pro 64 GB Plata,4929000.0,4929000.0,4929000.0,07-07-20,4929000.0,07-07-20,igual,http://www.alkosto.com/iphone-11-pro-64-gb-plata,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199388949_11.jpg
54279dc0de66c748c8c382bda867ff0e,telefonos,Samsung,Celular SAMSUNG Galaxy S20 Ultra 128GB Gris,5099900.0,5099900.0,5099900.0,07-07-20,5099900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-ultra-128gb-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090411892_2.jpg
